"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.570957960E-1,-1.747767180E-1,2.920926213E-1,9.773430824E0,9.779356578E0
2.591057960E-1,-1.651999205E-1,3.280056417E-1,9.773430824E0,9.780328665E0
2.611167960E-1,-1.604115069E-1,3.591302633E-1,9.778219223E0,9.786126791E0
2.631272960E-1,-1.604115069E-1,3.591302633E-1,9.794978142E0,9.802872191E0
2.651379620E-1,-1.867477298E-1,3.399766386E-1,9.821314812E0,9.828971638E0
2.671484620E-1,-2.442085743E-1,3.112462163E-1,9.826103210E0,9.834064080E0
2.691590620E-1,-2.561795712E-1,3.016694188E-1,9.828496933E0,9.836461985E0
2.711693950E-1,-2.705447972E-1,2.825157940E-1,9.823708534E0,9.831493225E0
2.731796800E-1,-2.513911724E-1,2.705447972E-1,9.818920135E0,9.825863048E0
2.751899300E-1,-3.088520169E-1,2.705447972E-1,9.804554939E0,9.813148405E0
2.772002630E-1,-3.351882398E-1,2.705447972E-1,9.797372818E0,9.806837399E0
2.792106630E-1,-3.136404157E-1,2.944868207E-1,9.792584419E0,9.802030525E0
2.812208440E-1,-2.633621991E-1,3.064578176E-1,9.799766541E0,9.808093611E0
2.832310940E-1,-2.346317619E-1,3.040636182E-1,9.792584419E0,9.800113079E0
2.852414780E-1,-1.963245422E-1,3.040636182E-1,9.783007622E0,9.789700513E0
2.872518350E-1,-1.675941199E-1,2.944868207E-1,9.775824547E0,9.781694937E0
2.892621680E-1,-1.747767180E-1,2.896983922E-1,9.797372818E0,9.803213055E0
2.912724800E-1,-1.867477298E-1,2.920926213E-1,9.797372818E0,9.803504830E0
2.932828320E-1,-2.394201756E-1,3.208230138E-1,9.799766541E0,9.807939319E0
2.952931650E-1,-2.561795712E-1,3.112462163E-1,9.809343338E0,9.817622874E0
2.973035330E-1,-2.705447972E-1,3.064578176E-1,9.811738014E0,9.820250187E0
2.993138330E-1,-2.801215947E-1,3.160346150E-1,9.797372818E0,9.806470319E0
3.013241180E-1,-2.753331959E-1,3.040636182E-1,9.780612946E0,9.789211033E0
3.033344810E-1,-2.801215947E-1,2.896983922E-1,9.775824547E0,9.784126882E0
3.053449150E-1,-3.088520169E-1,3.016694188E-1,9.763854027E0,9.773394470E0
