"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.465337330E-1,4.457019490E1,6.106360700E0,7.586031061E2,8.124000244E2,NaN,NaN,8.450487238E-2,7.759999847E1,1.237760353E1,0.000000000E0
1.786625703E0,4.456974036E1,6.105505759E0,7.572044951E2,8.110000000E2,1.199999928E0,3.500000000E1,9.015665088E-2,1.250000000E1,1.600000000E1,1.300000000E1
2.949151015E0,4.456977761E1,6.105554290E0,7.542044219E2,8.080000000E2,4.480000019E0,6.000000000E1,1.000918413E-1,1.000000000E1,1.200000000E1,3.000000000E1
3.930380703E0,4.456981936E1,6.105665183E0,7.542042281E2,8.080000000E2,7.639999866E0,5.979999924E1,1.072459227E-1,9.000000000E0,1.200000000E1,3.000000000E1
4.950067383E0,4.456986323E1,6.105731232E0,7.562041243E2,8.100000000E2,1.046999931E1,5.740000153E1,1.183085550E-1,5.500000000E0,7.000000000E0,3.000000000E1
5.949180312E0,4.456991985E1,6.105846064E0,7.552039318E2,8.090000000E2,1.044999981E1,5.600000000E1,1.272399695E-1,4.500000000E0,6.000000000E0,3.100000000E1
6.935826523E0,4.456996470E1,6.105939606E0,7.522037741E2,8.060000000E2,1.063999939E1,5.540000153E1,1.378033624E-1,3.500000000E0,5.000000000E0,3.000000000E1
7.949881445E0,4.457002693E1,6.106040357E0,7.512036129E2,8.050000000E2,1.039999962E1,5.459999847E1,1.458312376E-1,3.000000000E0,4.000000000E0,3.100000000E1
8.927452226E0,4.457006863E1,6.106123086E0,7.512034747E2,8.050000000E2,6.529999733E0,5.459999847E1,1.500839110E-1,3.000000000E0,4.000000000E0,3.100000000E1
9.931456250E0,4.457008741E1,6.106169857E0,7.522033936E2,8.060000000E2,3.039999962E0,5.420000076E1,1.516536569E-1,3.000000000E0,4.000000000E0,3.100000000E1
1.094766484E1,4.457009822E1,6.106182598E0,7.522033750E2,8.060000000E2,2.399999946E-1,5.370000076E1,NaN,3.000000000E0,4.000000000E0,3.200000000E1
1.191843277E1,4.457009881E1,6.106183436E0,7.522033737E2,8.060000000E2,6.899999976E-1,5.329999924E1,NaN,3.000000000E0,4.000000000E0,3.100000000E1
